campo_padronizado,coluna_original_2023,coluna_original_2024,coluna_original_2025_2026,anos_presente
deploy_modelo_prod_criacao_api_monitoramento,"('P8_a_5 ', 'Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.')","8.a.5_Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.","8.a.5_Sou responsável por colocar modelos em produção, criar os pipelines de dados, APIs de consumo e monitoramento.",3
desenv_e_mant_modelos_ml_prod,"('P3_d_9 ', 'i Desenvolver e manter modelos Machine Learning em produção.')",3.d.9_Desenvolver e manter modelos Machine Learning em produção,3.d.9_Desenvolver e manter modelos Machine Learning em produção,3
dev_ml_prod_tmp_gasto_cientista,"('P8_d_4 ', 'Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).')",8.d.4_Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,8.d.4_Desenvolvendo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,3
dev_modelo_ml,"('P8_a_4 ', 'Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).')",8.a.4_Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,8.a.4_Desenvolvo modelos de Machine Learning com o objetivo de colocar em produção em sistemas (produtos de dados).,3
dev_nuvem,"('P8_c_4 ', 'Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc)')","8.c.4_Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc).","8.c.4_Ambientes de desenvolvimento na nuvem (Google Colab, AWS Sagemaker, Kaggle Notebooks etc).",3
dev_usando_copilot,,3.f.3 Desenvolvedores utilizando Copilots,3.f.3 Desenvolvedores utilizando Copilots,2
direcionamento_centralizado_ia_generativa,,3.f.2 Direcionamento centralizado do uso de AI generativa,3.f.2 Direcionamento centralizado do uso de AI generativa,2
dividir_tempo_entregas_tec_gestao,"('P3_d_14 ', 'Dividir o tempo entre entregas técnicas e gestão.')",3.d.14_Dividir o tempo entre entregas técnicas e gestão,3.d.14_Dividir o tempo entre entregas técnicas e gestão,3
dynamo_db,"('P4_g_5 ', 'DynamoDB')",4.g.5_DynamoDB,4.d.5_DynamoDB,3
elastic_search,"('P4_g_13 ', 'ElasticSearch')",4.g.13_ElasticSearch,4.d.13_ElasticSearch,3
empresa_nao_utiliza_ferramenta_autonomia,"('P7_c_5 ', 'Minha empresa não utiliza essas ferramentas.')",7.c.5_Minha empresa não utiliza essas ferramentas.,7.c.5_Minha empresa não utiliza essas ferramentas.,3
empresa_possui_datalake,"('P6_c ', 'Sua organização possui um Data Lake?')",6.c_possui_data_lake,6.c_possui_data_lake,3
empresa_possui_dw,"('P6_e ', 'Sua organização possui um Data Warehouse?')",6.e_possui_data_warehouse,6.e_possui_data_warehouse,3
empresa_trabalha_passou_layoff_2023,"('P2_q ', 'Empresa que trabaha passou por layoff em 2023')",,,1
engenheiro_analytics,"('P3_b_1 ', 'Analytics Engineer')",3.b.1_Analytics Engineer,3.b.1_Analytics Engineer,3
engenheiro_dados,"('P3_b_2 ', 'Engenharia de Dados/Data Engineer')",3.b.2_Engenharia de Dados/Data Engineer,3.b.2_Engenharia de Dados/Data Engineer,3
engenheiro_dados_alteryx,"('P7_b_9 ', 'Alteryx')",6.b.9_Alteryx,6.b.9_Alteryx,3
engenheiro_dados_databricks,"('P7_b_20 ', 'Databricks')",6.b.20_Databricks,6.b.20_Databricks,3
engenheiro_dados_pentaho,"('P7_b_8 ', 'Pentaho')",6.b.8_Pentaho,6.b.8_Pentaho,3
engenheiro_dados_sem_ferramenta_etl,"('P6_b_21 ', 'Não utilizo ferramentas de ETL')",6.b.21_Não utilizo ferramentas de ETL,6.b.21_Não utilizo ferramentas de ETL,3
engenheiro_ml_ia,,3.b.10_ML Engineer/AI Engineer,3.b.10_ML Engineer/AI Engineer,2
estado,"('P1_i ', 'Estado onde mora')",1.i_estado_onde_mora,1.i_estado_onde_mora,3
estado_origem,,1.k_estado_de_origem,1.k_estado_de_origem,2
estudo_experimentos_util_estatistica,"('P7_a_5 ', 'Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.')","7.a.5_Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.","7.a.5_Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",3
estudo_uso_estatistica_analista,"('P7_d_5 ', 'Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.')","7.d.5_Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.","7.d.5_Realizando experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.",3
etl_com_ferramentas_bi,"('P6_h_2 ', 'Realizando construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')","6.h.2_Realizando construções de ETL\s em ferramentas como Pentaho, Talend, Dataflow etc.","6.h.2_Realizando construções de ETL\s em ferramentas como Pentaho, Talend, Dataflow etc.",3
etl_pentaho_talent_etc,"('P6_a_2 ', 'Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')","6.a.2_Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.","6.a.2_Realizo construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.",3
excel_planilha_apenas,"('P4_j_22 ', 'Fazemos todas as análises utilizando apenas Excel ou planilhas do google')",4.j.17_Fazemos todas as análises utilizando apenas Excel ou planilhas do google,4.g.17_Fazemos todas as análises utilizando apenas Excel ou planilhas do google,3
exp_prof_nao_prejud,"('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada')",1.e.1_Não acredito que minha experiência profissional seja afetada,1.e.1_Não acredito que minha experiência profissional seja afetada,3
exp_prof_prejud,"('P1_e ', 'experiencia_profissional_prejudicada')",1.e_experiencia_profissional_prejudicada,1.e_experiencia_profissional_prejudicada,3
exp_prof_prejud_cor_raca_etnia,"('P1_e_2 ', 'Experiencia prejudicada devido a minha Cor Raça Etnia')","1.e.2_Sim, devido a minha Cor/Raça/Etnia","1.e.2_Sim, devido a minha Cor/Raça/Etnia",3
exp_prof_prejud_ident_gen,"('P1_e_3 ', 'Experiencia prejudicada devido a minha identidade de gênero')","1.e.3_Sim, devido a minha identidade de gênero","1.e.3_Sim, devido a minha identidade de gênero",3
exp_prof_prejud_pcd,"('P1_e_4 ', 'Experiencia prejudicada devido ao fato de ser PCD')","1.e.4_Sim, devido ao fato de ser PCD","1.e.4_Sim, devido ao fato de ser PCD",3
exportacao_rel_area_neg_analista_dados,"('P7_a_3 ', 'Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",7.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,7.a.3_Crio consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,3
exportacao_rel_para_area_neg,"('P6_h_3 ', 'Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",6.h.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,6.h.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,3
extracao_api_analista,"('P7_d_4 ', 'Utilizando API's para extrair dados e complementar minhas análises.')",7.d.4_Utilizando API's para extrair dados e complementar minhas análises.,7.d.4_Utilizando API's para extrair dados e complementar minhas análises.,3
extracao_dados_api,"('P7_a_4 ', 'Utilizo API's para extrair dados e complementar minhas análises.')",7.a.4_Utilizo API\s para extrair dados e complementar minhas análises.,7.a.4_Utilizo API\s para extrair dados e complementar minhas análises.,3
extracao_rel_sql_analista,"('P7_d_3 ', 'Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')",7.d.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,7.d.3_Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.,3
faixa_etaria,"('P1_a_1 ', 'Faixa idade')",1.a.1_faixa_idade,1.a.1_faixa_idade,3
faixa_salarial,"('P2_h ', 'Faixa salarial')",2.h_faixa_salarial,2.h_faixa_salarial,3
falta_compreensao_caso_uso,"('P3_g_1 ', 'Falta de compreensão dos casos de uso')",3.g.1 Falta de compreensão dos casos de uso,3.h.1 Falta de compreensão dos casos de uso,3
falta_confiab_saida_alucinacao_modelo,"('P3_g_2 ', 'Falta de confiabilidade das saídas (alucinação dos modelos)')",3.g.2 Falta de confiabilidade das saídas (alucinação dos modelos),3.h.2 Falta de confiabilidade das saídas (alucinação dos modelos),3
falta_expertise_ou_recurso,"('P3_g_7 ', 'Falta de expertise ou falta de recursos')",3.g.7 Falta de expertise ou falta de recursos,3.h.7 Falta de expertise ou falta de recursos,3
falta_maturidade_analitica_empresa_insatisfacao,"('P2_l_7 ', 'Falta de maturidade analítica na empresa')",,,1
falta_oportunidade_cresc_insatisfacao,"('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual')",,,1
feature_store_cientista,"('P8_c_8 ', 'Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc)')","8.c.8_Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc).","8.c.8_Feature Store (Feast, Hopsworks, AWS Feature Store, Databricks Feature Store etc).",3
feature_store_ml_ops_tmp_gasto_cientista,"('P8_d_10 ', 'Criando e gerenciando soluções de Feature Store e cultura de MLOps.')",8.d.10_Criando e gerenciando soluções de Feature Store e cultura de MLOps.,8.d.10_Criando e gerenciando soluções de Feature Store e cultura de MLOps.,3
ferramenta_avanc_estatistica_analise_ajust_modelo,"('P8_a_8 ', 'Utilizo ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises estatísticas e ajustar modelos.')","8.a.8_Utilizo ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.","8.a.8_Utilizo ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.",3
ferramenta_avancadas_estatistica_analista_tmp_gasto_cientista,"('P8_d_8 ', 'Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.')","8.d.8_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.","8.d.8_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.",3
ferramenta_bi_cientista,"('P8_c_1 ', 'Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc)')","8.c.1_Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc).","8.c.1_Ferramentas de BI (PowerBI, Looker, Tableau, Qlik etc).",3
ferramenta_bi_diaria,"('P4_j ', 'Ferramenta de BI utilizada no dia a dia')",4.j_ferramenta_de_bi_(dia_a_dia),4.g_ferramenta_de_bi_(dia_a_dia),3
ferramenta_bi_favorita,"('P4_k ', 'Qual sua ferramenta de BI preferida?')",4.k_ferramenta_de_bi_preferida,4.h_ferramenta_de_bi_preferida,3
